rel_number;matrix;Technique;Mitigation;Efficiency
1;ICS;Screen Capture;Mitigation Limited or Not Effective;5
2;ICS;Theft of Operational Information;Data Loss Prevention;5
3;ICS;Detect Operating Mode;Software Process and Device Authentication;7
4;ICS;Exploitation for Evasion;Update Software;8
5;ICS;Activate Firmware Update Mode;Communication Authenticity;7
6;ICS;System Firmware;Filter Network Traffic;7
7;ICS;Program Download;Network Allowlists;5
8;ICS;Loss of Safety;Safety Instrumented Systems;7
9;ICS;Service Stop;Restrict File and Directory Permissions;6
10;ICS;Automated Collection;Network Segmentation;8
11;ICS;Exploitation of Remote Services;Application Isolation and Sandboxing;5
12;ICS;Network Sniffing;Encrypt Network Traffic;5
13;ICS;Program Upload;Authorization Enforcement;7
14;ICS;Modify Alarm Settings;Software Process and Device Authentication;7
15;ICS;Activate Firmware Update Mode;Access Management;8
16;ICS;External Remote Services;Multi-factor Authentication;8
17;ICS;Adversary-in-the-Middle;Software Process and Device Authentication;7
18;ICS;Standard Application Layer Protocol;Network Segmentation;8
19;ICS;Denial of View;Data Backup;6
20;ICS;Modify Controller Tasking;Code Signing;5
21;ICS;Valid Accounts;User Account Management;8
22;ICS;Command-Line Interface;Execution Prevention;6
23;ICS;Loss of Control;Data Backup;6
24;ICS;Exploit Public-Facing Application;Network Segmentation;8
25;ICS;Data from Information Repositories;Privileged Account Management;6
26;ICS;System Firmware;Network Segmentation;8
27;ICS;Hardcoded Credentials;Access Management;8
28;ICS;Default Credentials;Access Management;8
29;ICS;Execution through API;Execution Prevention;6
30;ICS;Loss of Control;Redundancy of Service;8
31;ICS;Adversary-in-the-Middle;Disable or Remove Feature or Program;6
32;ICS;Theft of Operational Information;Operational Information Confidentiality;5
33;ICS;Manipulation of Control;Data Backup;6
34;ICS;Data from Information Repositories;Audit;6
35;ICS;Native API;Execution Prevention;6
36;ICS;Data Destruction;Restrict File and Directory Permissions;6
37;ICS;Spearphishing Attachment;Restrict Web-Based Content;5
38;ICS;Activate Firmware Update Mode;Network Allowlists;5
39;ICS;Loss of Availability;Out-of-Band Communications Channel;5
40;ICS;External Remote Services;Account Use Policies;5
41;ICS;Supply Chain Compromise;Audit;6
42;ICS;Project File Infection;Encrypt Sensitive Information;5
43;ICS;Alarm Suppression;Network Allowlists;5
44;ICS;Brute Force I/O;Software Process and Device Authentication;7
45;ICS;Drive-by Compromise;Update Software;8
46;ICS;Unauthorized Command Message;Software Process and Device Authentication;7
47;ICS;Loss of View;Data Backup;6
48;ICS;Block Reporting Message;Static Network Configuration;6
49;ICS;Program Download;Audit;6
50;ICS;Unauthorized Command Message;Network Segmentation;8
51;ICS;Program Download;Access Management;8
52;ICS;Block Serial COM;Out-of-Band Communications Channel;5
53;ICS;Modify Parameter;Audit;6
54;ICS;Scripting;Execution Prevention;6
55;ICS;Commonly Used Port;Network Intrusion Prevention;8
56;ICS;Program Upload;Access Management;8
57;ICS;Alarm Suppression;Static Network Configuration;6
58;ICS;System Firmware;Encrypt Network Traffic;5
59;ICS;Exploitation for Evasion;Application Isolation and Sandboxing;5
60;ICS;System Firmware;Boot Integrity;6
61;ICS;Block Serial COM;Network Segmentation;8
62;ICS;User Execution;User Training;8
63;ICS;Exploitation of Remote Services;Privileged Account Management;6
64;ICS;Manipulation of View;Communication Authenticity;7
65;ICS;External Remote Services;Disable or Remove Feature or Program;6
66;ICS;Program Download;Authorization Enforcement;7
67;ICS;Network Sniffing;Multi-factor Authentication;8
68;ICS;Loss of Safety;Mechanical Protection Layers;5
69;ICS;Valid Accounts;Multi-factor Authentication;8
70;ICS;Commonly Used Port;Network Segmentation;8
71;ICS;Point & Tag Identification;Access Management;8
72;ICS;Wireless Sniffing;Encrypt Network Traffic;5
73;ICS;Data from Local System;User Training;8
74;ICS;Execution through API;Access Management;8
