LocalID;Matrix;MITREID;Name;Tactics;Platforms;Technologies;Additions;PR;AV;AC;UI;CVSS
1;Enterprise;T1556.008;Network Provider DLL;['credential-access', 'defense-evasion', 'persistence'];['Windows'];;;0,85;0,55;0,44;0,85;1,4372259
2;Enterprise;T1652;Device Driver Discovery;['discovery'];['Linux', 'macOS', 'Windows'];;;0,85;0,55;0,77;0,85;2,515145325
3;Enterprise;T1027.011;Fileless Storage;['defense-evasion'];['Windows'];;;0,85;0,55;0,44;0,85;1,4372259
4;Enterprise;T1027.010;Command Obfuscation;['defense-evasion'];['Linux', 'macOS', 'Windows'];;;0,85;0,55;0,77;0,85;2,515145325
5;Enterprise;T1562.011;Spoof Security Alerting;['defense-evasion'];['Windows', 'macOS', 'Linux'];;;0,85;0,55;0,44;0,85;1,4372259
6;Enterprise;T1552.008;Chat Messages;['credential-access'];['Office 365', 'SaaS', 'Google Workspace'];;;0,85;0,55;0,77;0,62;1,83457659
7;Enterprise;T1651;Cloud Administration Command;['execution'];['IaaS', 'Azure AD'];;;0,85;0,55;0,77;0,85;2,515145325
8;Enterprise;T1650;Acquire Access;['resource-development'];['PRE'];;;0,85;0,85;0,44;0,85;2,2211673
9;Enterprise;T1036.008;Masquerade File Type;['defense-evasion'];['Linux', 'macOS', 'Windows'];;;0,85;0,55;0,77;0,85;2,515145325
10;Enterprise;T1567.003;Exfiltration to Text Storage Sites;['exfiltration'];['Linux', 'macOS', 'Windows'];;;0,85;0,85;0,44;0,85;2,2211673
11;Enterprise;T1583.008;Malvertising;['resource-development'];['PRE'];;;0,85;0,85;0,44;0,85;2,2211673
12;Enterprise;T1021.007;Cloud Services;['lateral-movement'];['Office 365', 'Azure AD', 'SaaS', 'IaaS', 'Google Workspace'];;;0,85;0,85;0,44;0,85;2,2211673
13;Enterprise;T1205.002;Socket Filters;['defense-evasion', 'persistence', 'command-and-control'];['Linux', 'macOS', 'Windows'];;;0,85;0,55;0,44;0,85;1,4372259
14;Enterprise;T1608.006;SEO Poisoning;['resource-development'];['PRE'];;;0,85;0,85;0,44;0,85;2,2211673
15;Enterprise;T1027.009;Embedded Payloads;['defense-evasion'];['macOS', 'Windows', 'Linux'];;;0,85;0,55;0,77;0,85;2,515145325
16;Enterprise;T1027.008;Stripped Payloads;['defense-evasion'];['macOS', 'Linux', 'Windows'];;;0,85;0,55;0,77;0,85;2,515145325
17;Enterprise;T1556.007;Hybrid Identity;['credential-access', 'defense-evasion', 'persistence'];['Windows', 'Azure AD', 'SaaS', 'Google Workspace', 'Office 365', 'IaaS'];;;0,85;0,55;0,77;0,85;2,515145325
18;Enterprise;T1546.016;Installer Packages;['privilege-escalation', 'persistence'];['Linux', 'macOS', 'Windows'];;;0,62;0,55;0,44;0,85;1,04832948
19;Enterprise;T1027.007;Dynamic API Resolution;['defense-evasion'];['Windows'];;;0,85;0,55;0,77;0,85;2,515145325
20;Enterprise;T1593.003;Code Repositories;['reconnaissance'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
21;Enterprise;T1649;Steal or Forge Authentication Certificates;['credential-access'];['Windows', 'Linux', 'macOS', 'Azure AD'];;;0,85;0,55;0,44;0,85;1,4372259
22;Enterprise;T1070.009;Clear Persistence;['defense-evasion'];['Linux', 'macOS', 'Windows'];;;0,85;0,55;0,44;0,85;1,4372259
23;Enterprise;T1070.008;Clear Mailbox Data;['defense-evasion'];['Linux', 'macOS', 'Windows', 'Office 365', 'Google Workspace'];;;0,85;0,55;0,77;0,85;2,515145325
24;Enterprise;T1584.007;Serverless;['resource-development'];['PRE'];;;0,85;0,85;0,77;0,85;3,887042775
25;Enterprise;T1583.007;Serverless;['resource-development'];['PRE'];;;0,85;0,85;0,44;0,85;2,2211673
26;Enterprise;T1070.007;Clear Network Connection History and Configurations;['defense-evasion'];['Linux', 'macOS', 'Windows', 'Network'];;;0,85;0,55;0,77;0,85;2,515145325
27;Enterprise;T1556.006;Multi-Factor Authentication;['credential-access', 'defense-evasion', 'persistence'];['Windows', 'Azure AD', 'Office 365', 'SaaS', 'IaaS', 'Google Workspace', 'Linux', 'macOS'];;;0,85;0,55;0,44;0,85;1,4372259
28;Enterprise;T1586.003;Cloud Accounts;['resource-development'];['PRE'];;;0,85;0,55;0,77;0,62;1,83457659
29;Enterprise;T1585.003;Cloud Accounts;['resource-development'];['PRE'];;;0,85;0,55;0,77;0,62;1,83457659
30;Enterprise;T1648;Serverless Execution;['execution'];['SaaS', 'IaaS', 'Office 365'];;;0,85;0,55;0,44;0,85;1,4372259
31;Enterprise;T1647;Plist File Modification;['defense-evasion'];['macOS'];;;0,85;0,55;0,77;0,85;2,515145325
32;Enterprise;T1622;Debugger Evasion;['defense-evasion', 'discovery'];['Windows', 'Linux', 'macOS'];;;0,85;0,55;0,77;0,85;2,515145325
33;Enterprise;T1621;Multi-Factor Authentication Request Generation;['credential-access'];['Windows', 'Office 365', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Azure AD', 'Google Workspace'];;;0,85;0,55;0,77;0,62;1,83457659
34;Enterprise;T1505.005;Terminal Services DLL;['persistence'];['Windows'];;;0,85;0,55;0,44;0,85;1,4372259
35;Enterprise;T1557.003;DHCP Spoofing;['credential-access', 'collection'];['Linux', 'Windows', 'macOS'];;;0,85;0,85;0,77;0,85;3,887042775
36;Enterprise;T1059.009;Cloud API;['execution'];['IaaS', 'Azure AD', 'Office 365', 'SaaS', 'Google Workspace'];;;0,85;0,55;0,77;0,85;2,515145325
37;Enterprise;T1595.003;Wordlist Scanning;['reconnaissance'];['PRE'];;;0,85;0,85;0,44;0,85;2,2211673
38;Enterprise;T1098.005;Device Registration;['persistence'];['Azure AD', 'Windows', 'SaaS'];;;0,85;0,55;0,77;0,85;2,515145325
39;Enterprise;T1574.013;KernelCallbackTable;['persistence', 'privilege-escalation', 'defense-evasion'];['Windows'];;;0,85;0,55;0,44;0,85;1,4372259
40;Enterprise;T1556.005;Reversible Encryption;['credential-access', 'defense-evasion', 'persistence'];['Windows'];;;0,62;0,55;0,44;0,85;1,04832948
41;Enterprise;T1055.015;ListPlanting;['defense-evasion', 'privilege-escalation'];['Windows'];;;0,62;0,55;0,77;0,85;1,83457659
42;Enterprise;T1564.010;Process Argument Spoofing;['defense-evasion'];['Windows'];;;0,62;0,55;0,77;0,85;1,83457659
43;Enterprise;T1564.009;Resource Forking;['defense-evasion'];['macOS'];;;0,85;0,55;0,77;0,85;2,515145325
44;Enterprise;T1559.003;XPC Services;['execution'];['macOS'];;;0,85;0,55;0,44;0,85;1,4372259
45;Enterprise;T1562.010;Downgrade Attack;['defense-evasion'];['Windows', 'Linux', 'macOS'];;;0,85;0,55;0,44;0,85;1,4372259
