ThreatCount,CompName,MITREID,Technique,Tactic,Matrix,Likelihood,Impact,Detectability,Risk,Rating,Rec.Mitigations
1,SIS-AI Server,T1652,Device Driver Discovery,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
2,SIS-AI Server,T1027.010,Command Obfuscation,defense-evasion,Enterprise,"2,515145325","0,19596527399999997","0,5","0,246440571381722",Low,"['Behavior Prevention on Endpoint', 'Antivirus/Antimalware']"
3,SIS-AI Server,T1562.011,Spoof Security Alerting,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,['Execution Prevention']
4,SIS-AI Server,T1036.008,Masquerade File Type,defense-evasion,Enterprise,"2,515145325","0,19596527399999997","0,5","0,246440571381722",Low,"['Behavior Prevention on Endpoint', 'Antivirus/Antimalware', 'Execution Prevention']"
5,SIS-AI Server,T1567.003,Exfiltration to Text Storage Sites,exfiltration,Enterprise,"2,2211673","0,583636363",1,"1,2963540045865298",Low,['Restrict Web-Based Content']
6,SIS-AI Server,T1205.002,Socket Filters,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,['Filter Network Traffic']
7,SIS-AI Server,T1205.002,Socket Filters,persistence,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,['Filter Network Traffic']
8,SIS-AI Server,T1205.002,Socket Filters,command-and-control,Enterprise,"1,4372259","0,363636363",1,"0,5226275990854018",Low,['Filter Network Traffic']
9,SIS-AI Server,T1027.009,Embedded Payloads,defense-evasion,Enterprise,"2,515145325","0,19596527399999997","0,5","0,246440571381722",Low,"['Antivirus/Antimalware', 'Behavior Prevention on Endpoint']"
10,SIS-AI Server,T1027.008,Stripped Payloads,defense-evasion,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,[]
11,SIS-AI Server,T1546.016,Installer Packages,privilege-escalation,Enterprise,"1,04832948","0,19596527399999997",1,"0,2054361737904775",Low,[]
12,SIS-AI Server,T1546.016,Installer Packages,persistence,Enterprise,"1,04832948","0,19596527399999997",1,"0,2054361737904775",Low,[]
13,SIS-AI Server,T1649,Steal or Forge Authentication Certificates,credential-access,Enterprise,"1,4372259","0,363636363","0,4","0,20905103963416072",Low,"['Encrypt Sensitive Information', 'Audit', 'Active Directory Configuration', 'Disable or Remove Feature or Program']"
14,SIS-AI Server,T1070.009,Clear Persistence,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,"['Remote Data Storage', 'Restrict File and Directory Permissions']"
15,SIS-AI Server,T1070.008,Clear Mailbox Data,defense-evasion,Enterprise,"2,515145325","0,19596527399999997","0,4","0,19715245710537763",Low,"['Remote Data Storage', 'Audit', 'Restrict File and Directory Permissions']"
16,SIS-AI Server,T1070.007,Clear Network Connection History and Configurations,defense-evasion,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,"['Remote Data Storage', 'Restrict Registry Permissions']"
17,SIS-AI Server,T1556.006,Multi-Factor Authentication,credential-access,Enterprise,"1,4372259","0,363636363","0,4","0,20905103963416072",Low,"['Multi-factor Authentication', 'Audit', 'User Account Management']"
18,SIS-AI Server,T1556.006,Multi-Factor Authentication,defense-evasion,Enterprise,"1,4372259","0,19596527399999997","0,4","0,11265854691735862",Low,"['Multi-factor Authentication', 'Audit', 'User Account Management']"
19,SIS-AI Server,T1556.006,Multi-Factor Authentication,persistence,Enterprise,"1,4372259","0,19596527399999997","0,4","0,11265854691735862",Low,"['Multi-factor Authentication', 'Audit', 'User Account Management']"
20,SIS-AI Server,T1622,Debugger Evasion,defense-evasion,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,[]
21,SIS-AI Server,T1622,Debugger Evasion,discovery,Enterprise,"2,515145325","0,363636363",1,"0,9145982983994531",Low,[]
22,SIS-AI Server,T1621,Multi-Factor Authentication Request Generation,credential-access,Enterprise,"1,83457659","0,363636363","0,5","0,3335593794162711",Low,"['Multi-factor Authentication', 'User Training', 'Account Use Policies']"
23,SIS-AI Server,T1557.003,DHCP Spoofing,credential-access,Enterprise,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,"['Network Intrusion Prevention', 'Filter Network Traffic']"
24,SIS-AI Server,T1557.003,DHCP Spoofing,collection,Enterprise,"3,887042775","0,583636363","0,19999999999999996","0,45372390160528536",Low,"['Network Intrusion Prevention', 'Filter Network Traffic']"
25,SIS-AI Server,T1562.010,Downgrade Attack,defense-evasion,Enterprise,"1,4372259","0,19596527399999997","0,4","0,11265854691735862",Low,['Disable or Remove Feature or Program']
26,SIS-AI Server,T1620,Reflective Code Loading,defense-evasion,Enterprise,"1,4372259","0,19596527399999997",1,"0,28164636729339654",Low,[]
27,SIS-AI Server,T1614.001,System Language Discovery,discovery,Enterprise,"1,83457659","0,363636363",1,"0,6671187588325422",Low,[]
28,SIS-AI Server,T1564.008,Email Hiding Rules,defense-evasion,Enterprise,"2,515145325","0,19596527399999997","0,4","0,19715245710537763",Low,['Audit']
29,SIS-AI Server,T1027.006,HTML Smuggling,defense-evasion,Enterprise,"2,515145325","0,19596527399999997",1,"0,492881142763444",Low,[]
30,SIS-AI Server,T1614,System Location Discovery,discovery,Enterprise,"1,83457659","0,363636363",1,"0,6671187588325422",Low,[]
31,SIS-AI Server,T1611,Escape to Host,privilege-escalation,Enterprise,"1,83457659","0,19596527399999997","0,4","0,14380532165333423",Low,"['Privileged Account Management', 'Application Isolation and Sandboxing', 'Disable or Remove Feature or Program', 'Execution Prevention']"
32,SIS-AI Server,T1016.001,Internet Connection Discovery,discovery,Enterprise,"1,83457659","0,363636363",1,"0,6671187588325422",Low,[]
33,SIS-AI Server,T1555.005,Password Managers,credential-access,Enterprise,"1,04832948","0,363636363","0,19999999999999996","0,07624214386657624",Low,"['Password Policies', 'Software Configuration', 'Update Software']"
34,SIS-AI Server,T1606.001,Web Cookies,credential-access,Enterprise,"2,2211673","0,363636363","0,4","0,323078879434612",Low,"['Audit', 'Software Configuration']"
35,SIS-AI Server,T1606,Forge Web Credentials,credential-access,Enterprise,"3,887042775","0,363636363","0,4","0,565388039010571",Low,"['Audit', 'Software Configuration', 'User Account Management', 'Privileged Account Management']"
36,SIS-AI Server,T1557.002,ARP Cache Poisoning,credential-access,Enterprise,"3,887042775","0,363636363","0,19999999999999996","0,2826940195052854",Low,"['Limit Access to Resource Over Network', 'Disable or Remove Feature or Program', 'Filter Network Traffic', 'Encrypt Sensitive Information', 'Network Intrusion Prevention', 'User Training']"
37,SIS-AI Server,T1557.002,ARP Cache Poisoning,collection,Enterprise,"3,887042775","0,583636363","0,19999999999999996","0,45372390160528536",Low,"['Limit Access to Resource Over Network', 'Disable or Remove Feature or Program', 'Filter Network Traffic', 'Encrypt Sensitive Information', 'Network Intrusion Prevention', 'User Training']"
38,SIS-AI Server,T1053.006,Systemd Timers,execution,Enterprise,"2,83525473","0,64556691",1,"1,8303466351089843",Low,"['Restrict File and Directory Permissions', 'User Account Management', 'Privileged Account Management']"
39,SIS-AI Server,T1053.006,Systemd Timers,persistence,Enterprise,"2,83525473","0,19596527399999997",1,"0,5556114700242459",Low,"['Restrict File and Directory Permissions', 'User Account Management', 'Privileged Account Management']"
40,SIS-AI Server,T1053.006,Systemd Timers,privilege-escalation,Enterprise,"2,83525473","0,19596527399999997",1,"0,5556114700242459",Low,"['Restrict File and Directory Permissions', 'User Account Management', 'Privileged Account Management']"
